japanese,reading,chinese
買い物,かいもの,購物
円,えん,日圓
いくら,いくら,多少錢
安い,やすい,便宜的
高い,たかい,貴的、高的
ちょっと,ちょっと,一點點、稍微
お願いします,おねがいします,拜託了
図書館,としょかん,圖書館
大学,だいがく,大學
体育館,たいいくかん,體育館
教室,きょうしつ,教室
食堂,しょくどう,食堂
レストラン,れすとらん,（西式）餐廳
学校,がっこう,學校
会社,かいしゃ,公司
郵便局,ゆうびんきょく,郵局
銀行,ぎんこう,銀行
病院,びょういん,醫院
駅,えき,車站
公園,こうえん,公園
どこ,どこ,哪裡
電話,でんわ,電話
番号,ばんごう,號碼
大きい,おおきい,大的
小さい,ちいさい,小的
新しい,あたらしい,新的
古い,ふるい,舊的
白い,しろい,白色的
黒い,くろい,黑色的
青い,あおい,藍色的
赤い,あかい,紅色的
黄色い,きいろい,黃色的
高い,たかい,高的
低い,ひくい,低的、矮的
明るい,あかるい,明亮的
暗い,くらい,昏暗的
おいしい,おいしい,好吃的
まずい,まずい,難吃的
ラーメン,らーめん,拉麵
カレーライス,かれーらいす,咖哩飯
うどん,うどん,烏龍麵
そば,そば,蕎麥麵
ハンバーガー,はんばーがー,漢堡
サンドイッチ,さんどいっち,三明治
コーヒー,こーひー,咖啡
紅茶,こうちゃ,紅茶
牛乳,ぎゅうにゅう,牛奶
ジュース,じゅーす,果汁
パン,ぱん,麵包
